n0,nE,nET,nETO,nCollect,e_thr,t_thr,o_thr,max_collect,gate_mode,round,target_conc,t_thr_scaled
20000,10000,2200,990,990,2.4130725184015653,7.643658334723192,6.964829050872645,200000,fixed_absolute,1,1.0,7.643658334723192
20000,13399,13212,10773,10773,2.4130725184015653,2.2930975004169576,6.964829050872645,200000,fixed_absolute,2,0.3,2.2930975004169576
20000,13883,13759,11208,11208,2.4130725184015653,0.7643658334723192,6.964829050872645,200000,fixed_absolute,3,0.1,0.7643658334723192
